"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R24","RESC0402","30.1mm","10.55mm","30.1mm","10.55mm","30.1mm","11.05mm","T","270.00","47.5k"
"R23","RESC0402","31.3mm","7.35mm","31.3mm","7.35mm","31.8mm","7.35mm","T","180.00","100k"
"R22","RESC0402","28.9mm","10.55mm","28.9mm","10.55mm","28.9mm","10.05mm","T","90.00","59k"
"R21","RESC0402","-32.1mm","11.55mm","-32.1mm","11.55mm","-32.1mm","12.05mm","T","270.00","5.1K"
"R20","RESC0402","-17.4mm","11.85mm","-17.4mm","11.85mm","-16.9mm","11.85mm","T","180.00","5.1K"
"R19","RESC0402","31.3mm","6.25mm","31.3mm","6.25mm","30.8mm","6.25mm","T","360.00","402k"
"R18","RESC0402","27.7mm","10.55mm","27.7mm","10.55mm","27.7mm","11.05mm","T","270.00","100k"
"R17","RESC0402","18.7mm","2.35mm","18.7mm","2.35mm","18.7mm","1.85mm","T","90.00","30.9k"
"R15","RESC0402","20mm","2.35mm","20mm","2.35mm","20mm","2.85mm","T","270.00","5.23K"
"R14","RESC0402","13.2mm","2.35mm","13.2mm","2.35mm","13.2mm","2.85mm","T","270.00","10K"
"R12","RESC0402","12.3mm","5.75mm","12.3mm","5.75mm","12.8mm","5.75mm","T","180.00","10K"
"R11","RESC0402","12.3mm","6.95mm","12.3mm","6.95mm","12.8mm","6.95mm","T","180.00","10K"
"R10","RESC0402","-24.8mm","-9.75mm","-24.8mm","-9.75mm","-24.8mm","-9.25mm","T","270.00","1M"
"R9","RESC0402","-24.8mm","-11.85mm","-24.8mm","-11.85mm","-24.8mm","-11.35mm","T","270.00","10K"
"R8","RESC0402","17.3mm","2.35mm","17.3mm","2.35mm","17.3mm","1.85mm","T","90.00","237R"
"R7","RESC0402","-23.7mm","-12.65mm","-23.7mm","-12.65mm","-23.7mm","-13.15mm","T","90.00","0R"
"R6","RESC0402","12.7mm","12.85mm","12.7mm","12.85mm","12.7mm","13.35mm","T","270.00","10K"
"R5","RESC0402","9.4mm","10.35mm","9.4mm","10.35mm","8.9mm","10.35mm","T","360.00","0R"
"R4","RESC0402","22.1mm","-4.35mm","22.1mm","-4.35mm","22.6mm","-4.35mm","T","180.00","1M"
"R3","RESC0402","27.4mm","-4.35mm","27.4mm","-4.35mm","27.9mm","-4.35mm","T","180.00","1M"
"Q6","SOT23-3P95_240X111L42X43N","11.6mm","-1.85mm","11.6mm","-1.85mm","10.65mm","-2.9mm","T","360.00","BSS138LT1G"
"Q5","SOT23-3P95_240X111L42X43N","16.8mm","-1.85mm","16.8mm","-1.85mm","15.85mm","-2.9mm","T","360.00","BSS138LT1G"
"Q4","SOT23-3P95_240X111L42X43N","-22.2mm","-10.25mm","-22.2mm","-10.25mm","-21.15mm","-11.2mm","T","90.00","BSS138LT1G"
"Q3","SOT23-3P95_240X111L42X43N","10.2mm","12.75mm","10.2mm","12.75mm","11.25mm","11.8mm","T","90.00","BSS138LT1G"
"Q2","SOT23-3P95_240X111L42X43N","22.1mm","-1.85mm","22.1mm","-1.85mm","21.15mm","-2.9mm","T","360.00","BSS138LT1G"
"Q1","SOT23-3P95_240X111L42X43N","27.4mm","-1.85mm","27.4mm","-1.85mm","26.45mm","-2.9mm","T","360.00","BSS138LT1G"
"L4","INDC2016X180N","-43.1mm","-3.65mm","-43.1mm","-3.65mm","-43.1mm","-2.76mm","T","270.00","2.2uF"
"L3","INDC2016X180N","-43.1mm","4.25mm","-43.1mm","4.25mm","-43.1mm","3.36mm","T","90.00","2.2uF"
"J7","MCX_SMT_RF20-01B-L-00-50-G-T/R","-46.3275mm","-0.13mm","-47.09mm","-0.13mm","-45.565mm","-0.13mm","T","0.00","RF20-01B-L-00-50-G-T/R"
"J6","JST_S2B-PH-K-S(LF)(SN)","43.5mm","-0.05mm","43.5mm","-0.05mm","43.5mm","0.95mm","B","270.00","CONN_S2B-PH-K-S(LF)(SN)"
"J5","GCT_USB4110-GF-A_REVB","-24.99mm","11.0475mm","-24.99mm","9.87mm","-30.1mm","13.3mm","T","180.00","USB4110-GF-A_REVB"
"J4","J_JST_BM03B-ADHKS-GAN-ETB","-4.8mm","8.75mm","-4.8mm","8.75mm","-3.1mm","10.05mm","T","270.00","BM03B-ADHKS-GAN-ETB"
"J3","J_JST_BM03B-ADHKS-GAN-ETB","3mm","11.55mm","3mm","11.55mm","4.3mm","9.85mm","T","180.00","BM03B-ADHKS-GAN-ETB"
"J1","SAMTEC_HLE-120-02-F-DV-BE","17.47mm","-11.52mm","17.47mm","-11.52mm","41.6mm","-8.8mm","B","360.00","CONN_HLE-120-02-F-DV-BE"
"D3","D_SOD_323F","-27.7mm","-11.85mm","-27.7mm","-11.85mm","-26.3mm","-11.85mm","T","180.00","Diode"
"D2","D_SOD_323F","-27.7mm","-9.85mm","-27.7mm","-9.85mm","-26.3mm","-9.85mm","T","180.00","Diode"
"D1","D_SOD_323F","7.3mm","11.35mm","7.3mm","11.35mm","7.3mm","9.95mm","T","90.00","Diode"
"C64","CAPC100X50X65","-36.1mm","-7.95mm","-36.1mm","-7.95mm","-35.495mm","-7.95mm","T","180.00","10p"
"C63","CAPC100X50X65","-37.8mm","-5.55mm","-37.8mm","-5.55mm","-37.8mm","-4.945mm","T","270.00","10p"
"C62","CAPC100X50X65","-45.5mm","-4.85mm","-45.5mm","-4.85mm","-44.895mm","-4.85mm","T","180.00","15p"
"C61","CAPC100X50X65","-47.9mm","-4.85mm","-47.9mm","-4.85mm","-48.505mm","-4.85mm","T","360.00","180p"
"C60","CAPC100X50X65","-45.5mm","-3.45mm","-45.5mm","-3.45mm","-46.105mm","-3.45mm","T","360.00","47p"
"C59","CAPC100X50X65","-47.9mm","4.75mm","-47.9mm","4.75mm","-47.295mm","4.75mm","T","180.00","180p"
